delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
410400, 0.3, 43200, 8e+12, 8e+16, 4.39787887939e+15, 8e+16, 4.80763721798e+16, 8e+16, 1.63224420728e+16
414000, 0.3, 43200, 8e+12, 8e+16, 5.05777367469e+16, 8e+16, 9.10859363776e+15, 8e+16, 1.37296885436e+16
417600, 0.3, 43200, 8e+12, 8e+16, 5.75632266647e+16, 8e+16, 3.05290088365e+15, 8e+16, 1.38703163276e+16
421200, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 3.09309089394e+16, 8e+16, 4.04481614723e+16
424800, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 4.85036096074e+16, 8e+16, 2.40157448605e+16
428400, 0.3, 43200, 8e+12, 8e+16, 0.0, 0.0, 4.1892250184e+16, 8e+16, 3.07748185415e+16
432000, 0.3, 43200, 8e+12, 8e+16, 5.97296749222e+16, 8e+16, 3.17689358946e+15, 8e+16, 1.44328274637e+16
435600, 0.3, 43200, 8e+12, 8e+16, 6.02712869865e+16, 8e+16, 3.20789176591e+15, 8e+16, 1.45734552477e+16
439200, 0.3, 43200, 8e+12, 8e+16, 6.08128990509e+16, 8e+16, 3.23888994236e+15, 8e+16, 1.47140830317e+16
442800, 0.3, 43200, 8e+12, 8e+16, 6.13545111152e+16, 8e+16, 3.26988811881e+15, 8e+16, 1.48547108158e+16
446400, 0.3, 43200, 8e+12, 8e+16, 6.18961231796e+16, 8e+16, 3.30088629526e+15, 8e+16, 1.49953385998e+16
450000, 0.3, 43200, 8e+12, 8e+16, 6.24377352439e+16, 8e+16, 3.33188447171e+15, 8e+16, 1.51359663838e+16
453600, 0.3, 43200, 8e+12, 8e+16, 6.29793473083e+16, 8e+16, 3.36288264816e+15, 8e+16, 1.52765941678e+16
457200, 0.3, 43200, 8e+12, 8e+16, 6.35209593726e+16, 8e+16, 3.39388082461e+15, 8e+16, 1.54172219519e+16
