delayTolerance, linkLeakage, delayCutoff, storageSize, dataSize.0, flow.0, dataSize.1, flow.1, dataSize.2, flow.2
691200, 0.0094, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.72695321082e+16
691200, 0.0095, 43200, 8e+12, 8e+16, 7.72058014948e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0096, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.71854799376e+16
691200, 0.0097, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.68784353259e+16, 8e+16, 8e+16
691200, 0.0098, 43200, 8e+12, 8e+16, 7.70417975249e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.0099, 43200, 8e+12, 8e+16, 7.70776358036e+16, 8e+16, 7.96731863436e+16, 8e+16, 8e+16
691200, 0.01, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.66765948553e+16
691200, 0.01, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.66760613856e+16
691200, 0.011, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.670470254e+16, 8e+16, 7.90705542053e+16
691200, 0.012, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.47852082123e+16
691200, 0.013, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.40129327642e+16
691200, 0.014, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 7.29574400733e+16
691200, 0.015, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.22873606154e+16, 8e+16, 8e+16
691200, 0.016, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.120262558e+16, 8e+16, 8e+16
691200, 0.017, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.05528529381e+16, 8e+16, 8e+16
691200, 0.018, 43200, 8e+12, 8e+16, 7.67711639767e+16, 8e+16, 8e+16, 8e+16, 7.30032372313e+16
691200, 0.019, 43200, 8e+12, 8e+16, 6.88691691034e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.02, 43200, 8e+12, 8e+16, 6.85138533791e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.021, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.46153320524e+16, 8e+16, 7.314422666e+16
691200, 0.022, 43200, 8e+12, 8e+16, 7.61355211252e+16, 8e+16, 7.10803928657e+16, 8e+16, 8e+16
691200, 0.023, 43200, 8e+12, 8e+16, 7.86467731909e+16, 8e+16, 6.76790276713e+16, 8e+16, 8e+16
691200, 0.024, 43200, 8e+12, 8e+16, 7.06588723987e+16, 8e+16, 7.69900503082e+16, 8e+16, 7.80942079122e+16
691200, 0.025, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.76789236496e+16, 8e+16, 7.6559304791e+16
691200, 0.026, 43200, 8e+12, 8e+16, 6.36430684518e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.027, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 6.29028344079e+16
691200, 0.028, 43200, 8e+12, 8e+16, 6.23013746054e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.029, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 6.1892017022e+16
691200, 0.03, 43200, 8e+12, 8e+16, 6.08937279561e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.031, 43200, 8e+12, 8e+16, 7.58369633827e+16, 8e+16, 6.46921378805e+16, 8e+16, 8e+16
691200, 0.032, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 6.06971600954e+16
691200, 0.033, 43200, 8e+12, 8e+16, 5.89501693475e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.034, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 5.85423639068e+16
691200, 0.035, 43200, 8e+12, 8e+16, 5.84616985009e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.036, 43200, 8e+12, 8e+16, 7.28561244468e+16, 8e+16, 7.30336713693e+16, 8e+16, 7.09692398094e+16
691200, 0.037, 43200, 8e+12, 8e+16, 5.65644208197e+16, 8e+16, 8e+16, 8e+16, 8e+16
691200, 0.038, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.31128183282e+16, 8e+16, 7.24053976932e+16
691200, 0.039, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 5.78378255252e+16, 8e+16, 7.7148475037e+16
691200, 0.04, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.75323223959e+16, 8e+16, 5.77427379692e+16
691200, 0.041, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.63176615392e+16, 8e+16, 5.80669621904e+16
691200, 0.042, 43200, 8e+12, 8e+16, 5.68545581792e+16, 8e+16, 7.70140384266e+16, 8e+16, 8e+16
691200, 0.043, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.43686001404e+16, 8e+16, 6.91181506428e+16
691200, 0.044, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.65447039309e+16, 8e+16, 5.58762282624e+16
691200, 0.045, 43200, 8e+12, 8e+16, 7.05582988326e+16, 8e+16, 6.22654520378e+16, 8e+16, 8e+16
691200, 0.046, 43200, 8e+12, 8e+16, 7.48137688784e+16, 8e+16, 8e+16, 8e+16, 5.60356102958e+16
691200, 0.047, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.99348423047e+16, 8e+16, 6.05045576488e+16
691200, 0.048, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.73819528685e+16, 8e+16, 6.24695259391e+16
691200, 0.049, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 8e+16, 8e+16, 5.01618330806e+16
691200, 0.05, 43200, 8e+12, 8e+16, 7.38476141014e+16, 8e+16, 6.02167012655e+16, 8e+16, 7.47512722896e+16
691200, 0.051, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 7.53006098346e+16, 8e+16, 5.32129110373e+16
691200, 0.052, 43200, 8e+12, 8e+16, 7.53760487042e+16, 8e+16, 8e+16, 8e+16, 5.26290254629e+16
691200, 0.053, 43200, 8e+12, 8e+16, 8e+16, 8e+16, 6.65557166585e+16, 8e+16, 6.02818907235e+16
691200, 0.054, 43200, 8e+12, 8e+16, 7.76457257918e+16, 8e+16, 7.17928320694e+16, 8e+16, 5.86085728476e+16
691200, 0.055, 43200, 8e+12, 8e+16, 6.54245206851e+16, 8e+16, 6.11663208163e+16, 8e+16, 8e+16
691200, 0.056, 43200, 8e+12, 8e+16, 7.85116867351e+16, 8e+16, 5.84697305285e+16, 8e+16, 6.89007100501e+16
